,id,side,coordinates(epsg25833),parking_value
0,1,left,"[[316647.2017264024, 5689274.023277958], [316617.5182962337, 5689278.369997804]]",parallel
1,1,right,"[[316649.2428735968, 5689287.962122042], [316619.5594434281, 5689292.308841888]]",no car
2,1,left,"[[316617.5182962336, 5689278.369997804], [316594.7733264027, 5689281.700677958]]",parallel
3,1,right,"[[316619.5594434282, 5689292.308841888], [316596.8144735973, 5689295.639522042]]",no car
4,2,left,"[[316466.57196422626, 5689085.094021758], [316465.4286016152, 5689055.115817644]]",perpendicular
5,2,right,"[[316445.4298357744, 5689085.90037824], [316444.28647316335, 5689055.922174126]]",parallel
6,2,left,"[[316465.4286016152, 5689055.115817644], [316464.2852390041, 5689025.137613529]]",perpendicular
7,2,right,"[[316444.28647316335, 5689055.922174126], [316443.1431105523, 5689025.943970011]]",parallel
8,2,left,"[[316464.2852390042, 5689025.13761353], [316463.1418763931, 5688995.159409416]]",perpendicular
9,2,right,"[[316443.1431105523, 5689025.943970012], [316441.9997479412, 5688995.965765898]]",parallel
10,2,left,"[[316463.14187639306, 5688995.159409416], [316462.12756422587, 5688968.564821759]]",diagonal/perpendicular
11,2,right,"[[316441.99974794115, 5688995.965765898], [316440.98543577397, 5688969.371178241]]",parallel
12,4,left,"[[316447.89900498657, 5688903.876191315], [316418.04153435206, 5688906.797055452]]",parallel
13,4,right,"[[316449.0933950132, 5688916.085408682], [316419.2359243787, 5688919.006272819]]",no car
14,4,left,"[[316418.04153435194, 5688906.797055453], [316388.18406371743, 5688909.71791959]]",parallel
15,4,right,"[[316419.2359243789, 5688919.006272819], [316389.3784537444, 5688921.927136957]]",no car
16,4,left,"[[316388.18406371743, 5688909.71791959], [316358.3265930829, 5688912.638783729]]",parallel
17,4,right,"[[316389.3784537444, 5688921.927136957], [316359.5209831099, 5688924.848001095]]",parallel
18,4,left,"[[316358.3265930829, 5688912.638783729], [316328.4691224484, 5688915.559647866]]",parallel
19,4,right,"[[316359.5209831099, 5688924.848001095], [316329.6635124754, 5688927.768865232]]",no car
20,4,left,"[[316328.4691224482, 5688915.559647866], [316314.75670498674, 5688916.901091317]]",parallel
21,4,right,"[[316329.6635124756, 5688927.768865232], [316315.95109501417, 5688929.110308683]]",no car
22,5,left,"[[316994.97413674515, 5688907.296013999], [316965.0736051439, 5688909.7369584795]]",diagonal
23,5,right,"[[316996.5674632549, 5688926.813586], [316966.66693165357, 5688929.254530482]]",parallel
